"","NFE","NFE_2","ED0","ED0_2","ED1","ED1_2","ED2","ED2_2","ED6","ED6_2","ED13","ED13_2","N1","N1_2","N3","N3_2","N5","N5_2","N6","N6_2","Adult","Adult_2"
"Bger_06010",665,473,328,949,280,896,644,557,381,119,624,321,288,185,146,153,74,147,100,75,110,76
"Bger_06013",10,4,0,1,0,1,4,6,66,35,139,80,90,62,31,52,49,124,59,45,88,103
"Bger_06014",24,7,3,6,0,1,19,20,3,103,4,2,8,4,202,269,87,32,152,62,2,0
"Bger_06017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bger_06016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_06012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_06015",71,84,35,96,3,12,0,6,13,23,134,81,12,14,182,113,14,41,29,49,36,32
"Bger_06011",185,208,68,341,79,324,118,167,74,40,107,87,85,45,41,35,28,30,31,24,37,22
"Bger_06018",626,248,54,146,32,57,6,11,244,478,1387,647,1707,1060,970,1316,380,801,691,486,331,339
"Bger_06021",6,8,3,9,0,7,4,4,4,4,8,3,3,0,1,3,0,2,0,0,2,0
"Bger_06020",0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"Bger_06019",3,1,2,4,1,1,8,15,4,3,8,2,3,2,0,2,2,0,1,0,0,2
"Bger_06023",3,5,1,7,0,1,0,1,1,0,9,6,6,4,29,36,19,59,43,37,65,50
"Bger_06025",169,215,108,257,23,126,15,46,64,27,96,55,45,24,23,46,13,34,14,23,32,16
"Bger_06029",193,309,54,254,33,143,228,149,272,147,392,252,52,48,96,106,44,110,59,65,44,34
"Bger_06022",279,559,91,346,63,226,324,451,384,416,786,771,684,638,626,702,434,687,677,384,719,598
"Bger_06024",307,390,154,507,34,115,156,153,109,60,155,98,30,18,25,32,14,24,35,25,32,22
"Bger_06030",4,0,0,1,0,1,1,3,0,0,3,0,0,0,0,3,0,0,1,0,0,0
"Bger_06026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_06033",1211,1471,439,1606,161,877,561,708,870,544,848,765,279,194,98,148,94,216,147,122,250,136
"Bger_06028",802,1034,290,919,163,548,809,607,832,389,921,647,373,315,305,334,142,459,222,255,507,409
"Bger_06027",20,37,5,39,1,20,5,14,7,9,23,17,8,4,8,18,5,9,8,5,13,10
"Bger_06037",19,16,0,4,4,9,14,21,20,20,44,28,3,4,13,26,3,8,14,9,10,13
"Bger_06031",1074,1926,516,1737,214,997,344,460,241,171,279,227,449,309,320,241,180,364,180,209,764,756
"Bger_06034",72,117,37,89,30,48,341,411,147,119,180,169,73,47,70,95,31,83,45,42,41,45
"Bger_06032",44,119,16,100,7,50,28,37,14,19,11,23,27,9,9,16,10,9,9,16,51,47
"Bger_06035",23,34,3,22,23,63,100,174,50,43,64,57,32,17,19,27,10,27,14,17,18,17
"Bger_06036",34,24,0,6,8,11,31,35,24,24,50,33,7,4,18,26,5,10,18,14,11,13
"Bger_27611",19,8,0,1,17,0,3,4,2,0,57,30,71,54,43,46,29,45,41,24,49,32
"Bger_14954",11,4,5,5,3,12,11,11,21,10,16,14,35,33,15,25,21,66,14,20,62,49
"Bger_14963",267,200,188,355,39,188,47,72,40,14,30,24,4,2,2,10,3,14,5,9,2,0
"Bger_14958",341,410,184,484,160,485,301,414,134,58,196,149,122,62,74,81,47,75,50,75,73,52
"Bger_14960",763,679,446,862,326,587,1604,1117,646,161,522,271,353,231,223,372,113,305,211,133,189,149
"Bger_14955",6,4,5,5,1,9,6,9,15,8,13,9,21,10,4,12,2,10,1,0,2,1
"Bger_14956",1,0,0,0,0,1,3,0,0,1,1,0,10,22,9,10,18,53,12,18,58,46
"Bger_14957",310,379,165,445,144,468,311,411,136,58,204,149,124,67,74,86,47,80,51,73,74,52
"Bger_14959",694,532,403,700,472,644,2477,1523,917,207,638,337,446,347,267,460,132,367,232,168,207,163
"Bger_14966",401,613,237,641,250,847,847,1321,144,102,190,241,77,58,58,62,34,54,45,40,29,31
"Bger_14961",552,593,353,936,135,695,108,178,103,65,149,103,45,32,48,58,28,64,43,39,55,37
"Bger_14964",1480,1891,552,1627,392,1265,984,791,796,310,390,295,150,144,162,180,74,184,120,126,158,112
"Bger_14965",381,270,231,526,156,435,296,295,152,70,170,142,34,42,29,45,12,44,21,19,15,17
"Bger_14962",0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_25295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_25294",16,24,3,20,2,13,31,45,29,23,59,31,2,10,8,6,1,8,8,3,6,8
"Bger_25298",0,0,0,0,0,0,1,4,0,1,0,1,3,1,0,1,0,0,2,1,0,0
"Bger_25297",23,33,6,46,3,16,1,1,3,17,14,25,10,9,4,3,3,2,4,6,5,6
"Bger_25296",2,7,2,5,0,4,0,2,6,11,13,15,4,3,4,3,2,1,3,1,3,4
"Bger_20747",3,2,0,0,0,0,0,1,1,1,4,4,0,0,0,0,1,0,1,2,0,0
"Bger_20750",2,0,0,0,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0
"Bger_20748",22,9,0,2,4,4,20,29,16,16,64,67,15,11,15,26,9,15,12,12,15,19
"Bger_20755",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bger_20753",11,37,5,51,0,20,15,8,18,7,23,19,8,7,8,5,3,7,6,4,5,3
"Bger_20756",0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
"Bger_20751",1,1,1,0,0,0,0,4,1,0,3,2,0,0,1,1,0,0,0,1,0,0
"Bger_20752",207,238,135,441,26,118,88,105,81,68,133,145,59,41,49,40,24,57,45,35,48,34
"Bger_20757",59677,86266,3202,42166,2406,45537,51810,178178,111526,182375,107475,58289,68405,71301,123924,135093,92105,89632,173542,149243,91440,82930
"Bger_20754",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bger_20749",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20758",13,11,0,2,1,4,14,13,21,9,47,24,16,5,13,11,10,11,9,11,9,4
"Bger_28109",0,2,0,0,2,0,3,4,0,1,7,1,0,1,2,3,0,0,2,1,0,0
"Bger_16932",25,31,14,15,2,11,2,3,0,1,2,0,6,2,0,6,0,4,2,1,0,0
"Bger_16934",21,4,8,16,1,5,2,9,4,49,53,317,4,0,7235,7893,215,2174,893,1042,1,1
"Bger_16935",0,0,0,0,0,0,0,0,1,0,4,7,0,0,74,20,2,7,3,7,0,0
"Bger_16933",4,0,0,0,0,0,0,1,25,8,43,52,6,5,201,182,26,42,46,54,5,1
"Bger_16936",0,0,0,0,0,0,0,0,0,0,1,2,0,1,124,93,18,34,22,81,0,0
"Bger_16937",0,0,0,0,0,0,0,0,0,1,21,7,0,0,0,1,0,1,0,0,0,0
"Bger_16938",5,2,0,2,0,1,0,0,2,2,0,3,2,3,975,1102,153,887,348,674,1,1
"Bger_16940",7,1,1,0,0,1,1,1,76,3355,26,60,18,9,3131,3480,341,534,839,1045,1,0
"Bger_16939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Bger_16942",0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,0,1,20,0,0
"Bger_16943",72,108,9,28,3,37,24,39,96,71,83,41,37,36,125,138,31,51,60,69,36,46
"Bger_16945",24,15,11,12,0,7,0,2,0,5,24,65,0,0,95,23,11,17,9,22,0,1
"Bger_16947",18,53,8,28,0,3,0,0,0,0,2,6,0,0,77,17,13,7,3,12,1,1
"Bger_16946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
